,throughput,new_flow
0,0.0,0.0
0,9762614.4,1.0
0,0.0,0.0
0,348.8,3.0
0,0.0,0.0
0,355.2,3.0
0,355.2,5.0
0,592.0,1.0
0,0.0,0.0
0,0.0,0.0
0,0.0,17.0
0,2012.8,14.0
0,1657.6,6.0
0,659.2,0.0
0,0.0,2.0
0,0.0,0.0
0,0.0,0.0
0,0.0,1.0
0,0.0,0.0
0,0.0,4.0
0,422.4,9.0
0,1065.6,13.0
0,1539.2,1.0
0,118.4,1.0
0,118.4,4.0
0,473.6,4.0
0,422.4,7.0
0,828.8,4.0
0,473.6,7.0
0,0.0,0.0
0,0.0,2.0
0,0.0,0.0
0,0.0,0.0
0,0.0,7.0
0,0.0,0.0
0,0.0,0.0
0,0.0,2.0
0,0.0,0.0
0,0.0,9.0
0,0.0,0.0
0,0.0,3.0
0,355.2,2.0
0,355.2,3.0
0,950.4,9.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,2.0
0,0.0,0.0
0,0.0,0.0
0,0.0,4.0
0,473.6,5.0
0,592.0,1.0
0,0.0,0.0
0,118.4,1.0
0,0.0,0.0
0,0.0,2.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,1.0
0,118.4,2.0
0,236.8,2.0
0,236.8,1.0
0,0.0,0.0
0,0.0,4.0
0,0.0,0.0
0,0.0,2.0
0,211.2,2.0
0,0.0,0.0
0,0.0,8.0
0,819.2,28.0
0,118.4,1.0
0,118.4,6.0
0,710.4,8.0
0,1254.4,12.0
0,0.0,0.0
0,0.0,0.0
0,748.8,6.0
0,0.0,0.0
0,0.0,2.0
0,236.8,4.0
0,0.0,0.0
0,0.0,6.0
0,99.2,1.0
0,99.2,2.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,2.0
0,211.2,4.0
0,569.6,5.0
0,236.8,2.0
0,1212.8,10.0
0,1212.8,11.0
0,1120.0,2.0
0,355.2,3.0
0,118.4,1.0
0,118.4,2.0
0,828.8,7.0
0,828.8,1.0
0,118.4,1.0
0,96.0,6.0
0,342.4,3.0
0,870.4,8.0
0,870.4,11.0
0,0.0,0.0
0,0.0,7.0
0,828.8,12.0
0,1401.6,6.0
0,716.8,1.0
0,118.4,2.0
0,0.0,0.0
0,0.0,0.0
0,0.0,13.0
