,throughput,new_flow,new_flow_normalized
0,0,0,0
1,0,0.2,0.0178571429
2,0.01184,0.2,0.0178571429
3,0,0.2,0.0178571429
4,0.01184,0.2,0.0178571429
5,0.01184,0,0
6,0,0.2,0.0178571429
7,0.01184,0,0
8,0,0,0
9,0,0,0
10,0.01184,0.2,0.0178571429
11,0.02144,0,0
12,0,0.2,0.0178571429
13,0.01184,0,0
14,0,0,0
15,0.01184,0,0
16,0,0,0
17,0.01184,0,0
18,0,0,0
19,0.04224,0.4,0.0357142857
20,0.02368,0.4,0.0357142857
21,0.01184,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0.01184,0.2,0.0178571429
26,0.01184,0.2,0.0178571429
27,0.00992,0.2,0.0178571429
28,0.01184,0,0
29,0,0,0
30,0.04736,0.4,0.0357142857
31,0.02368,0.2,0.0178571429
32,0.01184,0,0
33,0,0,0
34,0.05408,0.2,0.0178571429
35,0.01184,0.2,0.0178571429
36,0.02368,0.2,0.0178571429
37,0.01184,0,0
38,0,0,0
39,0,0,0
40,0,0.4,0.0357142857
41,0.02368,0.4,0.0357142857
42,0.0224,0,0
43,0,0.4,0.0357142857
44,0.02368,0.4,0.0357142857
45,0.01184,0.8,0.0714285714
46,0.04736,1.6,0.1428571429
47,0.09472,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0.01184,0,0
52,0,0,0
53,0,0,0
54,0,0.6,0.0535714286
55,0.03552,6.2,0.5535714286
56,0.36192,0.4,0.0357142857
57,0.02368,0.4,0.0357142857
58,0.02368,0.2,0.0178571429
59,0.01184,0.2,0.0178571429
60,0.30784,0,0
61,0,0,0
62,0.01184,0,0
63,0,0,0
64,0,0.2,0.0178571429
65,0.01184,0.6,0.0535714286
66,0.03424,0.2,0.0178571429
67,0.01184,0.2,0.0178571429
68,0.01184,0,0
69,0,0.2,0.0178571429
70,0.01184,0.6,0.0535714286
71,0.03168,0.6,0.0535714286
72,0.01056,0.2,0.0178571429
73,0.01184,0.2,0.0178571429
74,0.01056,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0.01184,0.2,0.0178571429
79,0.05472,0.2,0.0178571429
80,0.01184,0,0
81,0,0,0
82,0,0.2,0.0178571429
83,0.01184,0,0
84,0,0,0
85,0.01184,0,0
86,0,0,0
87,0.01248,0.2,0.0178571429
88,0.00992,0.2,0.0178571429
89,0.01184,0.4,0.0357142857
90,0.02368,0.4,0.0357142857
91,0.02368,0,0
92,0,0,0
93,0.04736,1,0.0892857143
94,0.05408,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0.2,0.0178571429
99,0.01184,0.8,0.0714285714
100,0.04736,0.8,0.0714285714
